Potentilla/Comarum,ol,Openland
Ranunculus sp.,ol,Openland
Sambucus racemosa,sg,Summergreen
Trifolium pratense-type,ol,Openland
Zizania aquatica,ol,Openland
cf. Hottonia palustris,uk,Unknown
cf. Stratiotes,ol,Openland
Malvaceae undiff.,uk,Unknown
Potamogeton natans-type,ol,Openland
Araceae undiff.,uk,Unknown
Boraginaceae undiff.,uk,Unknown
Hydrocharis,ol,Openland
Viola palustris,ol,Openland
Araceae cf. Calla,ol,Openland
Rhus sp.,sg,Summergreen
Maianthemum,ol,Openland
Houstonia,ol,Openland
Robinia,sg,Summergreen
cf. Hippuris,ol,Openland
cf. Adoxa moschatellina,uk,Unknown
Myriophyllum spicatum-type,ol,Openland
Vaccinium-type,eg,Evergreen
Potamogeton natans,ol,Openland
Hottonia-type,uk,Unknown
Oxalis,ol,Openland
Aconitum-type,ol,Openland
Verbascum-type,ol,Openland
Celtis/Maclura-type,sg,Summergreen
Ilex-type,eg,Evergreen
Primula farinosa-type,ol,Openland
Mentha,ol,Openland
Caprifoliaceae undiff.,uk,Unknown
Spergula-type,ol,Openland
Echinocystis lobata,uk,Unknown
Lonicera-type,sg,Summergreen
Betula (large),sg,Summergreen
Ambrosia/Iva annua,ol,Openland
Angiospermae undiff. (hardwood trees),uk,Unknown
Pinaceae (vesiculate),eg,Evergreen
Rorippa,ol,Openland
Triglochin maritima,ol,Openland
cf. Linum,ol,Openland
Rumex cf. R. britannica,ol,Openland
Linum cf. L. usitatissimum,ol,Openland
Sinapis arvensis,ol,Openland
Thalictrum confine-type,ol,Openland
Rumex cf. R. mexicanus,ol,Openland
cf. Euphorbia,ol,Openland
cf. Veronicastrum virginicum,ol,Openland
cf. Veronicastrum,ol,Openland
Fabaceae cf. tribe Psoraleeae,ol,Openland
Alnus cf. A. viridis subsp. crispa,sg,Summergreen
cf. Brassica,ol,Openland
Poaceae cf. Zea,ol,Openland
Trifolium cf. T. pratense,ol,Openland
Ranunculus trichophyllus-type,ol,Openland
Geraniaceae,ol,Openland
Pinus banksiana/P. resinosa-type,eg,Evergreen
Indeterminable undiff.,uk,Unknown
cf. Medicago,ol,Openland
Polygonum sensu lato (tricolporate),ol,Openland
Thalictrum undiff.,uk,Unknown
"Eudicotyledoneae (tricolporate, small)",ol,Openland
Lathyrus-type,ol,Openland
Psoraleeae,ol,Openland
Caryophyllaceae cf. Silene,ol,Openland
Diervilla,sg,Summergreen
cf. Thalictrum,ol,Openland
Polygonaceae (tricolporate),ol,Openland
Comptonia,sg,Summergreen
Artemisia-type,ol,Openland
Nephrophyllidium crista-galli,ol,Openland
Ceratophyllum,ol,Openland
Dipsacoideae,ol,Openland
Castanea-type,sg,Summergreen
Carex,ol,Openland
Acer rubrum-type,sg,Summergreen
Menispermaceae,sg,Summergreen
Planera aquatica,sg,Summergreen
Mitella,ol,Openland
Iris,ol,Openland
Scheuchzeria,ol,Openland
Chamaenerion angustifolium-type,ol,Openland
Veronica-type,ol,Openland
Oplopanax horridus,sg,Summergreen
Mitchella repens,ol,Openland
Actaea rubra,ol,Openland
Purshia tridentata,sg,Summergreen
Fabaceae cf. Astragalus,ol,Openland
Betula glandulosa,sg,Summergreen
Juniperus communis,eg,Evergreen
Cichorium-type,uk,Unknown
Cupressaceae/Taxaceae,eg,Evergreen
Proserpinaca,ol,Openland
Verbenaceae,ol,Openland
Symplocarpus,ol,Openland
Eleocharis,ol,Openland
Cabomba,ol,Openland
Anacardiaceae undiff.,uk,Unknown
Trillium,ol,Openland
Leitneria floridana,uk,Unknown
Sibbaldia procumbens,ol,Openland
Shepherdia undiff.,uk,Unknown
Ranunculus aquatilis,ol,Openland
Pinguicula,ol,Openland
Scrophulariaceae undiff.,uk,Unknown
Veronica,ol,Openland
Achillea,ol,Openland
Hydrocotyle-type,ol,Openland
Suaeda,ol,Openland
Asteraceae (high spine),ol,Openland
Maclura pomifera,sg,Summergreen
Coniferae,eg,Evergreen
Holodiscus,sg,Summergreen
Phacelia,ol,Openland
Rhamnaceae undiff.,uk,Unknown
Bistorta,ol,Openland
cf. Araceae,ol,Openland
Lactuca,ol,Openland
Plumbaginaceae,ol,Openland
Myriophyllum spicatum,ol,Openland
Arabis-type,ol,Openland
Saxifraga hirculus-type,ol,Openland
Maianthemum-type,ol,Openland
Cardamine-type,ol,Openland
Galeopsis-type,ol,Openland
Helianthus-type,ol,Openland
Urticaceae undiff.,uk,Unknown
Ipomoea,ol,Openland
Hystrix,ol,Openland
Menyanthaceae,ol,Openland
Linum perenne,ol,Openland
Amsinckia,ol,Openland
Delphinium-type,ol,Openland
Erythranthe guttata,ol,Openland
Mentzelia,uk,Unknown
Larix-type,sg,Summergreen
Agrimonia,ol,Openland
Araceae,ol,Openland
Butomus,ol,Openland
Clematis,ol,Openland
Apocynaceae,ol,Openland
Orchidaceae,ol,Openland
Leptospermum,eg,Evergreen
Lobelia,ol,Openland
Hydrocharitaceae,ol,Openland
Ulmus americana,sg,Summergreen
Bidens,ol,Openland
Arecaceae,ol,Openland
Limonium carolinianum,ol,Openland
Gaylussacia baccata,sg,Summergreen
Taraxacum,ol,Openland
Solidago,ol,Openland
Fagaceae,sg,Summergreen
Calendula,ol,Openland
Betula/Corylus,sg,Summergreen
Typha latifolia-type,ol,Openland
Parnassia palustris,ol,Openland
Tsuga undiff.,uk,Unknown
Sambucus nigra-type,sg,Summergreen
Crassulaceae undiff.,uk,Unknown
Solanum dulcamara,ol,Openland
Sparganium erectum-type,ol,Openland
Rumex acetosella-type,ol,Openland
Sambucus undiff.,uk,Unknown
Crassula,ol,Openland
Illecebrum,ol,Openland
Myriophyllum verticillatum,ol,Openland
Lotus-type,ol,Openland
Cornus suecica-type,sg,Summergreen
Stachys sylvatica-type,ol,Openland
Nyssa sylvatica,sg,Summergreen
Helianthus,ol,Openland
Suaeda calceoliformis,ol,Openland
Hudsonia,sg,Summergreen
cf. Morus,sg,Summergreen
cf. Cupressaceae,eg,Evergreen
Lonicera canadensis-type,sg,Summergreen
Linaria,ol,Openland
cf. Platanus,sg,Summergreen
Spergularia-type,ol,Openland
Chrysosplenium-type,ol,Openland
Anemone,ol,Openland
Rhus glabra,sg,Summergreen
Scrophularia,ol,Openland
Rhus undiff.,uk,Unknown
Aster,ol,Openland
Abronia latifolia,ol,Openland
Arenaria-type,ol,Openland
Conioselinum gmelinii,ol,Openland
Angelica-type,ol,Openland
Eriocaulon aquaticum,ol,Openland
Iris versicolor,ol,Openland
Stratiotes aloides,ol,Openland
Nymphoides,ol,Openland
Monocotyledoneae undiff.,uk,Unknown
Lamium,ol,Openland
cf. Viola,ol,Openland
cf. Utricularia,ol,Openland
Agastache,ol,Openland
Castilleja,ol,Openland
Ephedra nevadensis,eg,Evergreen
Leptosiphon,ol,Openland
Polygonum sect. Duravia,ol,Openland
Ranunculus orthorhynchus,ol,Openland
Cistanthe,ol,Openland
Persicaria cf. P. hydropiperoides,ol,Openland
Aster-type,ol,Openland
Trifolium repens,ol,Openland
Rosa-type,ol,Openland
Anthemis-type,ol,Openland
Stuckenia cf. S. pectinata,ol,Openland
Plantago major/P. media,ol,Openland
Knautia,ol,Openland
Taraxacum-type,ol,Openland
Myriophyllum-type,ol,Openland
Oxyria,ol,Openland
Galium boreale,ol,Openland
Galium aparine,ol,Openland
Typha angustata,ol,Openland
Viola palustris-type,ol,Openland
Typhaceae,ol,Openland
Spermatophyta undiff. (exotic),uk,Unknown
Chamaedaphne,eg,Evergreen
Prunella,ol,Openland
Picea sitchensis,eg,Evergreen
Muscari,ol,Openland
Trapa,ol,Openland
Stratiotes,ol,Openland
Listera,ol,Openland
Chrysosplenium,ol,Openland
Montia,ol,Openland
Platanaceae,sg,Summergreen
Betula/Myrica,sg,Summergreen
Silene dioica-type,ol,Openland
Rhododendron-type,eg,Evergreen
Astragalus alpinus,ol,Openland
Hypericum perforatum-type,ol,Openland
cf. Rubus arcticus,ol,Openland
Solidago-type,ol,Openland
Scilla-type,ol,Openland
Salix sp.,sg,Summergreen
Lithocarpus,eg,Evergreen
Celtis/Ulmus,sg,Summergreen
Ephedraceae,eg,Evergreen
Iva-type,ol,Openland
Loranthaceae,sg,Summergreen
Nyssaceae,sg,Summergreen
Radiola,uk,Unknown
Elodea-type,ol,Openland
Grossulariaceae,sg,Summergreen
Sarcobataceae,ol,Openland
Liliaceae-type,ol,Openland
Sapindaceae,sg,Summergreen
Rumex/Oxyria,ol,Openland
Kochia-type,uk,Unknown
